分类,名称,字段,数值,类型
平衡配置,GuardianRepairAmount,GuardianRepairAmount,3,int
平衡配置,DeathConsolationBase,DeathConsolationBase,1,int
平衡配置,DeathConsolationPerStage,DeathConsolationPerStage,1,int
平衡配置,LossGoldGain,LossGoldGain,0,int
平衡配置,LossCardDrawGain,LossCardDrawGain,0,int
平衡配置,LossTalentPointGain,LossTalentPointGain,0,int
平衡配置,NormalWinGold,NormalWinGold,30,int
平衡配置,NormalWinCardDraw,NormalWinCardDraw,1,int
平衡配置,NormalWinTalentPoint,NormalWinTalentPoint,2,int
平衡配置,EliteWinGold,EliteWinGold,45,int
平衡配置,EliteWinCardDraw,EliteWinCardDraw,2,int
平衡配置,EliteWinTalentPoint,EliteWinTalentPoint,3,int
平衡配置,BossWinGold,BossWinGold,70,int
平衡配置,BossWinCardDraw,BossWinCardDraw,3,int
平衡配置,BossWinTalentPoint,BossWinTalentPoint,4,int
平衡配置,FirstClearBonusGold,FirstClearBonusGold,20,int
平衡配置,BetNoHitReturnBonusChance,BetNoHitReturnBonusChance,0.50,float
平衡配置,BetNoHitReturnOnlyChance,BetNoHitReturnOnlyChance,0.95,float
平衡配置,BetHitReturnDoubleChance,BetHitReturnDoubleChance,0.40,float
平衡配置,BetHitReturnOnlyChance,BetHitReturnOnlyChance,0.90,float
平衡配置,RerollCost,RerollCost,10,int
平衡配置,MaxStarLimit,MaxStarLimit,5,int
平衡配置,RosterMinCount,RosterMinCount,3,int
平衡配置,RosterMaxCount,RosterMaxCount,8,int
平衡配置,StarBudget,StarBudget,9,int
平衡配置,CardShopPriceCommon,CardShopPriceCommon,15,int
平衡配置,CardShopPriceAdvanced,CardShopPriceAdvanced,30,int
平衡配置,CardShopPriceRare,CardShopPriceRare,60,int
平衡配置,CardShopPriceLegendary,CardShopPriceLegendary,120,int
平衡配置,RewardDepthGrowthPerStage,RewardDepthGrowthPerStage,0.03,float
平衡配置,ShopPriceDepthGrowthPerStage,ShopPriceDepthGrowthPerStage,0.02,float
平衡配置,ShopSlotCountDefault,ShopSlotCountDefault,5,int
平衡配置,ShopSlotCountMin,ShopSlotCountMin,4,int
平衡配置,ShopSlotCountMax,ShopSlotCountMax,6,int
平衡配置,ShopSlotDiscountChance,ShopSlotDiscountChance,0.30,float
平衡配置,ShopRefreshBaseCost,ShopRefreshBaseCost,10,int
平衡配置,ShopRefreshCostIncrement,ShopRefreshCostIncrement,5,int
平衡配置,CardTypeLimit,CardTypeLimit,3,int
平衡配置,StarCardMaxOwned,StarCardMaxOwned,10,int
平衡配置,StarCardInitialCapacity,StarCardInitialCapacity,5,int
平衡配置,StarCardMaxCapacity,StarCardMaxCapacity,10,int
平衡配置,ActClearCatalysisRemoveCount,ActClearCatalysisRemoveCount,2,int
平衡配置,ActClearCatalysisMinKeep,ActClearCatalysisMinKeep,2,int
平衡配置,CardRemovalBaseCost,CardRemovalBaseCost,25,int
平衡配置,CardRemovalCostIncrement,CardRemovalCostIncrement,15,int
平衡配置,CardRemovalLimitPerVisit,CardRemovalLimitPerVisit,1,int
平衡配置,HybridFixedCutoff,HybridFixedCutoff,5,int
平衡配置,HybridEnemyHpMin,HybridEnemyHpMin,1.00,float
平衡配置,HybridEnemyHpMax,HybridEnemyHpMax,1.30,float
