分类,名称,字段,数值,类型
平衡配置,DeathConsolationBase,DeathConsolationBase,1,int
平衡配置,DeathConsolationPerStage,DeathConsolationPerStage,1,int
平衡配置,LossGoldGain,LossGoldGain,0,int
平衡配置,LossCardDrawGain,LossCardDrawGain,0,int
平衡配置,LossTalentPointGain,LossTalentPointGain,0,int
平衡配置,NormalWinGold,NormalWinGold,30,int
平衡配置,NormalWinCardDraw,NormalWinCardDraw,1,int
平衡配置,NormalWinTalentPoint,NormalWinTalentPoint,2,int
平衡配置,EliteWinGold,EliteWinGold,45,int
平衡配置,EliteWinCardDraw,EliteWinCardDraw,2,int
平衡配置,EliteWinTalentPoint,EliteWinTalentPoint,3,int
平衡配置,BossWinGold,BossWinGold,70,int
平衡配置,BossWinCardDraw,BossWinCardDraw,3,int
平衡配置,BossWinTalentPoint,BossWinTalentPoint,4,int
平衡配置,FirstClearBonusGold,FirstClearBonusGold,20,int
平衡配置,BetNoHitReturnBonusChance,BetNoHitReturnBonusChance,0.50,float
平衡配置,BetNoHitReturnOnlyChance,BetNoHitReturnOnlyChance,0.95,float
平衡配置,BetHitReturnDoubleChance,BetHitReturnDoubleChance,0.40,float
平衡配置,BetHitReturnOnlyChance,BetHitReturnOnlyChance,0.90,float
平衡配置,RerollCost,RerollCost,10,int
平衡配置,CardShopPriceCommon,CardShopPriceCommon,15,int
平衡配置,CardShopPriceAdvanced,CardShopPriceAdvanced,30,int
平衡配置,CardShopPriceRare,CardShopPriceRare,60,int
平衡配置,CardShopPriceLegendary,CardShopPriceLegendary,120,int
平衡配置,RewardDepthGrowthPerStage,RewardDepthGrowthPerStage,0.03,float
平衡配置,ShopPriceDepthGrowthPerStage,ShopPriceDepthGrowthPerStage,0.02,float
平衡配置,ShopSlotCountDefault,ShopSlotCountDefault,5,int
平衡配置,ShopSlotCountMin,ShopSlotCountMin,4,int
平衡配置,ShopSlotCountMax,ShopSlotCountMax,6,int
平衡配置,ShopSlotDiscountChance,ShopSlotDiscountChance,0.30,float
平衡配置,ShopRefreshBaseCost,ShopRefreshBaseCost,10,int
平衡配置,ShopRefreshCostIncrement,ShopRefreshCostIncrement,5,int
平衡配置,CardTypeLimit,CardTypeLimit,3,int
平衡配置,CardRemovalBaseCost,CardRemovalBaseCost,25,int
平衡配置,CardRemovalCostIncrement,CardRemovalCostIncrement,15,int
平衡配置,CardRemovalLimitPerVisit,CardRemovalLimitPerVisit,1,int
平衡配置,HybridFixedCutoff,HybridFixedCutoff,5,int
平衡配置,HybridEnemyHpMin,HybridEnemyHpMin,1.00,float
平衡配置,HybridEnemyHpMax,HybridEnemyHpMax,1.30,float
平衡配置,HybridEnemySpeedMin,HybridEnemySpeedMin,1.00,float
平衡配置,HybridEnemySpeedMax,HybridEnemySpeedMax,1.20,float
平衡配置,HybridStartDPOffsetMin,HybridStartDPOffsetMin,-2,int
平衡配置,HybridStartDPOffsetMax,HybridStartDPOffsetMax,3,int
平衡配置,HybridMaxLifePointOffsetMin,HybridMaxLifePointOffsetMin,-1,int
平衡配置,HybridMaxLifePointOffsetMax,HybridMaxLifePointOffsetMax,2,int
平衡配置,HybridEnemySwapChance,HybridEnemySwapChance,0.30,float
平衡配置,HybridHpGrowthPerStage,HybridHpGrowthPerStage,0.02,float
平衡配置,HybridSpeedGrowthPerStage,HybridSpeedGrowthPerStage,0.01,float
干员,万录朵,operatorName,万录朵,string
干员,万录朵,cost,50,int
干员,万录朵,maxHealth,5.00,float
干员,万录朵,defense,0,int
干员,万录朵,attackDamage,1300.00,float
干员,万录朵,attackInterval,15.00,float
干员,万录朵,attackRange,10.00,float
干员,万录朵,opType,Guard,OperatorType
干员,万录朵,deployRadius,1.00,float
干员,万录朵,purchaseCooldown,60.00,float
干员,万录朵,canStandOnGroundAndHighGround,false,bool
干员,万录朵,isAoEAttacker,false,bool
干员,万录朵,isHealer,false,bool
干员,万录朵,baseCritChance,0,int
干员,万录朵,maxStarRating,5,int
干员,万录朵,selectQuote,...你看起来很有趣。就陪你走一程吧。,string
干员,万录朵,isInitialAvailable,false,bool
干员,傀儡师,operatorName,傀儡师,string
干员,傀儡师,cost,12,int
干员,傀儡师,maxHealth,380.00,float
干员,傀儡师,defense,200,int
干员,傀儡师,attackDamage,50.00,float
干员,傀儡师,attackInterval,0.90,float
干员,傀儡师,attackRange,0.00,float
干员,傀儡师,opType,Guard,OperatorType
干员,傀儡师,deployRadius,6.00,float
干员,傀儡师,purchaseCooldown,20.00,float
干员,傀儡师,canStandOnGroundAndHighGround,false,bool
干员,傀儡师,isAoEAttacker,false,bool
干员,傀儡师,isHealer,false,bool
干员,傀儡师,baseCritChance,0,int
干员,傀儡师,maxStarRating,4,int
干员,傀儡师,selectQuote,线在我手，命由我定。,string
干员,傀儡师,isInitialAvailable,false,bool
干员,光波,operatorName,光波,string
干员,光波,cost,26,int
干员,光波,maxHealth,1.00,float
干员,光波,defense,0,int
干员,光波,attackDamage,13.00,float
干员,光波,attackInterval,1.00,float
干员,光波,attackRange,4.10,float
干员,光波,opType,Vanguard,OperatorType
